,,
,,
,,
# place,confirmed_cases,suspected,cured,deaths
湖北省,48206,0,0,1310
广东省,1241,0,0,2
河南省,1169,0,0,10
浙江省,1145,0,0,0
湖南省,968,0,0,2
安徽省,910,0,0,5
江西省,872,0,0,1
江苏省,570,0,0,0
重庆市,518,0,0,3
山东省,506,0,0,2
四川省,451,0,0,1
黑龙江省,395,0,0,9
北京市,366,0,0,3
上海市,315,0,0,1
福建省,279,0,0,0
河北省,265,0,0,3
陕西省,229,0,0,0
广西壮族自治区,222,0,0,2
海南省,157,0,0,4
云南省,155,0,0,0
贵州省,135,0,0,1
山西省,126,0,0,0
辽宁省,116,0,0,1
天津市,113,0,0,3
甘肃省,87,0,0,2
吉林省,84,0,0,1
宁夏回族自治区,64,0,0,0
新疆维吾尔自治区,63,0,0,1
内蒙古自治区,61,0,0,0
香港,50,0,0,1
台湾,18,0,0,0
青海省,18,0,0,0
澳门,10,0,0,0
西藏自治区,1,0,0,0
