Fri Feb 14 11:55:33 2020
,确诊,疑似,治愈,死亡
全国,63932,10109,6734,1381
省级行政区,确诊,疑似,治愈,死亡
湖北省,51986,0,3862,1318
广东省,1261,0,334,2
河南省,1184,0,316,11
浙江省,1155,0,367,0
安徽省,934,0,166,6
江西省,900,0,187,1
湖南省,988,0,352,2
江苏省,593,0,141,0
山东省,519,0,111,2
重庆市,529,0,128,4
黑龙江省,418,0,37,11
四川省,463,0,105,1
北京市,366,0,69,3
上海市,318,0,62,1
福建省,281,0,59,0
河北省,283,0,70,3
广西壮族自治区,226,0,35,2
陕西省,230,0,49,0
云南省,162,0,27,0
海南省,158,0,30,4
贵州省,140,0,28,1
天津市,119,0,21,3
辽宁省,117,0,24,1
山西省,126,0,36,0
吉林省,86,0,25,1
内蒙古自治区,65,0,6,0
新疆维吾尔自治区,65,0,6,1
香港,53,0,1,1
甘肃省,90,0,39,2
宁夏回族自治区,67,0,24,0
台湾,18,0,2,0
澳门,10,0,3,0
青海省,18,0,11,0
西藏自治区,1,0,1,0
