Thu Feb  6 12:11:28 2020
市,确诊,疑似,治愈,死亡
汉中,20,0,0,0
咸阳,15,0,0,0
宝鸡,10,0,0,0
渭南,9,0,0,0
延安,7,0,0,0
铜川,7,0,1,0
商洛,6,0,0,0
榆林,2,0,0,0
韩城,1,0,0,0
杨凌,1,0,0,0
北海,31,0,2,0
南宁,30,0,0,0
桂林,27,0,5,0
柳州,20,0,3,0
防城港,15,0,1,0
河池,11,0,0,0
玉林,8,0,1,0
贵港,7,0,0,0
钦州,7,0,0,0
梧州,5,0,2,0
贺州,4,0,0,0
百色,2,0,0,0
来宾,1,0,0,0
石家庄,24,0,2,0
沧州,21,0,0,1
邢台,19,0,0,0
邯郸,18,0,0,0
保定,17,0,4,0
唐山,17,0,0,0
廊坊,14,0,1,0
张家口,12,0,0,0
衡水,7,0,0,0
承德,5,0,0,0
秦皇岛,3,0,0,0
昆明,37,0,0,0
西双版纳,15,0,1,0
玉溪,13,0,1,0
曲靖,10,0,1,0
昭通,10,0,0,0
大理,8,0,1,0
保山,8,0,0,0
丽江,7,0,0,0
红河,5,0,1,0
德宏,5,0,0,0
普洱,4,0,0,0
楚雄,4,0,0,0
临沧,1,0,0,0
文山,1,0,0,0
三亚,30,0,5,0
海口,16,0,0,0
万宁,11,0,0,0
儋州,10,0,0,0
琼海,6,0,0,0
临高,5,0,0,0
陵水,4,0,0,0
澄迈,4,0,0,1
定安,3,0,0,0
昌江,3,0,0,0
东方,3,0,0,0
保亭,2,0,0,0
琼中,1,0,0,0
乐东,1,0,0,0
文昌,1,0,0,0
晋中,26,0,2,0
运城,17,0,1,0
太原,9,0,1,0
大同,9,0,0,0
晋城,7,0,0,0
吕梁,6,0,1,0
长治,5,0,0,0
朔州,4,0,0,0
阳泉,3,0,0,0
忻州,3,0,0,0
临汾,1,0,1,0
沈阳,23,0,1,0
大连,14,0,3,0
盘锦,8,0,0,0
锦州,7,0,0,0
丹东,7,0,0,0
葫芦岛,7,0,0,0
阜新,7,0,0,0
朝阳,6,0,0,0
本溪,3,0,0,0
铁岭,3,0,0,0
辽阳,2,0,0,0
营口,1,0,0,0
鞍山,1,0,0,0
贵阳,15,0,1,0
毕节,13,0,0,0
六盘水,9,0,0,1
遵义,9,0,0,0
铜仁,6,0,2,0
黔南州,6,0,3,0
黔东南州,5,0,0,0
黔西南州,3,0,0,0
安顺,3,0,0,0
宝坻区,15,0,0,1
河东区,10,0,0,0
河北区,10,0,0,0
和平区,6,0,0,0
外地来津人员,6,0,0,0
河西区,4,0,0,0
宁河区,4,0,0,0
南开区,3,0,0,0
西青区,3,0,0,0
东丽区,3,0,0,0
滨海新区,2,0,0,0
红桥区,2,0,1,0
津南区,1,0,0,0
待明确,0,0,1,0
兰州,30,0,3,0
天水,10,0,0,0
定西,5,0,1,0
陇南,4,0,0,0
临夏,3,0,2,0
张掖,2,0,0,0
白银,2,0,0,0
甘南,2,0,0,0
庆阳,2,0,0,0
金昌,1,0,0,0
平凉,1,0,0,0
长春,29,0,1,0
四平,9,0,0,0
吉林市,5,0,1,0
辽源,5,0,0,0
公主岭,4,0,0,0
延边,4,0,0,0
松原,2,0,0,0
通化,1,0,0,0
鄂尔多斯,11,0,2,0
包头,9,0,0,0
呼和浩特,5,0,0,0
呼伦贝尔,5,0,1,0
巴彦淖尔,4,0,0,0
乌兰察布,3,0,0,0
赤峰,3,0,0,0
锡林郭勒盟,2,0,1,0
乌海市,2,0,0,0
兴安盟,1,0,0,0
通辽,1,0,0,0
银川,25,0,1,0
吴忠,8,0,0,0
中卫,3,0,0,0
固原,2,0,0,0
宁东管委会,1,0,0,0
石嘴山,1,0,0,0
乌鲁木齐,15,0,0,0
伊犁州,9,0,0,0
第九师,4,0,0,0
昌吉,2,0,0,0
吐鲁番,1,0,0,0
第七师,1,0,0,0
第八师,1,0,0,0
阿克苏,1,0,0,0
第六师,1,0,0,0
巴州,1,0,0,0
西宁,15,0,3,0
海北州,3,0,0,0
拉萨,1,0,0,0
