Tue Feb 11 17:26:51 2020
市,确诊,疑似,治愈,死亡
龙岩,6,0,1,0
沧州,32,0,10,1
唐山,31,0,2,0
保定,30,0,9,0
邯郸,27,0,3,0
石家庄,27,0,3,0
廊坊,26,0,5,0
邢台,21,0,5,1
张家口,21,0,2,0
秦皇岛,9,0,0,0
衡水,8,0,2,0
承德,7,0,1,0
西安,104,0,12,0
安康,22,0,5,0
汉中,21,0,1,0
咸阳,17,0,4,0
渭南,14,0,0,0
宝鸡,13,0,2,0
延安,8,0,2,0
铜川,8,0,4,0
商洛,7,0,1,0
榆林,3,0,1,0
韩城,1,0,0,0
杨凌,1,0,0,0
南宁,41,0,8,0
北海,36,0,3,0
桂林,30,0,5,0
柳州,22,0,3,0
河池,21,0,0,1
防城港,17,0,1,0
来宾,11,0,0,0
玉林,9,0,1,0
钦州,8,0,0,0
贵港,8,0,0,0
梧州,5,0,3,0
贺州,4,0,0,0
百色,3,0,0,0
待明确地区,0,0,6,0
昆明,46,0,6,0
西双版纳,15,0,2,0
玉溪,14,0,2,0
昭通,14,0,1,0
曲靖,13,0,1,0
大理州,13,0,2,0
保山,9,0,0,0
丽江,7,0,2,0
红河州,6,0,2,0
德宏州,5,0,0,0
普洱,4,0,0,0
楚雄州,4,0,0,0
文山州,2,0,0,0
临沧,1,0,0,0
待明确地区,0,0,2,0
三亚,45,0,11,1
海口,29,0,5,0
万宁,13,0,0,0
儋州,11,0,1,0
澄迈,7,0,1,1
临高,6,0,1,0
琼海,6,0,0,1
昌江,6,0,0,0
陵水,4,0,0,0
东方,3,0,0,0
定安,3,0,0,0
文昌,3,0,0,0
保亭,3,0,0,0
乐东,2,0,0,0
琼中,1,0,1,0
晋中,33,0,8,0
运城,19,0,6,0
太原,18,0,3,0
大同,11,0,3,0
晋城,8,0,2,0
长治,7,0,0,0
朔州,7,0,2,0
忻州,7,0,0,0
吕梁,6,0,3,0
阳泉,4,0,0,0
临汾,2,0,1,0
贵阳,29,0,1,0
遵义,23,0,1,0
毕节,21,0,0,0
六盘水,10,0,0,1
黔东南州,10,0,0,0
铜仁,9,0,5,0
黔南州,8,0,3,0
黔西南州,4,0,0,0
安顺,4,0,0,0
沈阳,26,0,7,0
大连,16,0,3,0
盘锦,11,0,0,0
锦州,11,0,1,0
葫芦岛,9,0,0,0
阜新,8,0,0,0
丹东,7,0,3,0
朝阳,6,0,2,0
铁岭,4,0,0,0
