Fri Feb 14 11:55:33 2020
市,确诊,疑似,治愈,死亡
武汉,35991,0,2016,1016
孝感,3009,0,255,57
黄冈,2791,0,504,59
荆州,1447,0,158,27
随州,1206,0,72,16
襄阳,1111,0,73,16
鄂州,1125,0,116,32
黄石,943,0,137,11
宜昌,877,0,81,13
荆门,901,0,105,25
咸宁,732,0,99,8
十堰,586,0,89,2
仙桃,500,0,58,17
天门,416,0,21,10
恩施州,237,0,58,4
潜江,104,0,11,5
神农架林区,10,0,8,0
深圳,400,0,94,0
广州,328,0,93,0
东莞,73,0,7,0
珠海,91,0,27,0
佛山,82,0,18,0
中山,64,0,22,0
惠州,56,0,14,0
江门,22,0,4,0
汕头,25,0,8,0
湛江,22,0,11,0
茂名,13,0,2,0
肇庆,17,0,7,1
阳江,13,0,5,0
梅州,14,0,7,0
清远,12,0,5,0
韶关,8,0,3,0
揭阳,8,0,3,0
潮州,5,0,0,0
汕尾,5,0,1,0
河源,3,0,1,0
待明确地区,0,0,2,1
信阳,243,0,49,0
南阳,146,0,45,2
驻马店,137,0,42,0
郑州,142,0,54,0
商丘,88,0,25,2
周口,69,0,20,0
新乡,55,0,7,2
平顶山,57,0,19,1
安阳,50,0,13,0
许昌,37,0,6,0
漯河,33,0,6,0
洛阳,30,0,4,0
焦作,29,0,5,1
开封,25,0,6,0
鹤壁,19,0,4,0
濮阳,13,0,1,0
三门峡,7,0,3,0
济源,4,0,0,0
待明确地区,0,0,7,3
温州,496,0,140,0
宁波,153,0,35,0
杭州,165,0,69,0
台州,144,0,49,0
嘉兴,42,0,8,0
金华,55,0,24,0
绍兴,42,0,16,0
衢州,21,0,8,0
丽水,17,0,9,0
湖州,10,0,4,0
舟山,10,0,5,0
蚌埠,149,0,3,5
合肥,166,0,35,1
阜阳,146,0,23,0
亳州,106,0,16,0
六安,61,0,3,0
安庆,81,0,29,0
宿州,39,0,10,0
马鞍山,34,0,8,0
芜湖,31,0,5,0
淮北,25,0,6,0
铜陵,28,0,10,0
淮南,23,0,6,0
池州,17,0,3,0
滁州,13,0,4,0
黄山,9,0,1,0
宣城,6,0,4,0
南昌,217,0,68,0
上饶,122,0,18,0
九江,114,0,16,0
新余,124,0,31,0
宜春,101,0,18,0
赣州,76,0,12,1
抚州,71,0,14,0
萍乡,31,0,2,0
鹰潭,18,0,2,0
吉安,20,0,5,0
景德镇,5,0,1,0
赣江新区,1,0,0,0
长沙,238,0,63,0
岳阳,149,0,44,1
邵阳,100,0,41,1
株洲,77,0,21,0
常德,78,0,26,0
娄底,73,0,25,0
益阳,59,0,22,0
郴州,39,0,15,0
湘潭,34,0,12,0
衡阳,46,0,25,0
永州,43,0,23,0
怀化,39,0,26,0
湘西自治州,8,0,6,0
张家界,5,0,3,0
苏州,85,0,17,0
南京,91,0,26,0
徐州,76,0,17,0
淮安,56,0,6,0
无锡,51,0,9,0
连云港,45,0,10,0
常州,43,0,11,0
南通,39,0,10,0
泰州,37,0,15,0
盐城,26,0,6,0
扬州,20,0,6,0
镇江,12,0,2,0
宿迁,12,0,6,0
青岛,53,0,15,1
济南,47,0,11,0
烟台,46,0,10,0
潍坊,41,0,6,0
聊城,38,0,3,0
临沂,47,0,13,0
济宁,46,0,14,0
威海,38,0,9,0
德州,35,0,6,1
泰安,32,0,4,0
淄博,26,0,1,0
枣庄,23,0,4,0
日照,15,0,2,0
菏泽,18,0,7,0
滨州,14,0,6,0
万州区,103,0,23,2
江北区,25,0,2,0
綦江区,21,0,1,0
合川区,23,0,5,0
垫江县,20,0,3,0
奉节县,20,0,3,0
渝中区,20,0,3,0
九龙坡区,20,0,3,1
潼南区,16,0,0,0
南岸区,15,0,1,0
两江新区,17,0,4,0
大足区,14,0,1,0
忠县,19,0,7,0
渝北区,15,0,4,0
石柱县,14,0,3,0
云阳县,22,0,12,0
长寿区,17,0,8,0
丰都县,10,0,1,0
荣昌区,8,0,0,0
沙坪坝区,8,0,0,0
开州区,20,0,12,1
铜梁区,8,0,1,0
巫溪县,13,0,7,0
巫山县,10,0,5,0
璧山区,8,0,3,0
巴南区,6,0,1,0
永川区,5,0,1,0
大渡口区,7,0,4,0
江津区,4,0,1,0
高新区,4,0,1,0
梁平区,4,0,2,0
涪陵区,3,0,1,0
彭水县,2,0,0,0
武隆区,1,0,0,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
城口县,2,0,2,0
黔江区,2,0,2,0
秀山县,1,0,1,0
哈尔滨,164,0,15,3
双鸭山,48,0,1,2
鸡西,44,0,1,0
绥化,45,0,3,4
齐齐哈尔,36,0,8,1
大庆,18,0,1,1
七台河,16,0,1,0
黑河,13,0,0,0
牡丹江,12,0,1,0
佳木斯,15,0,5,0
鹤岗,5,0,1,0
大兴安岭,2,0,0,0
成都,135,0,43,1
甘孜州,43,0,3,0
达州,36,0,5,0
南充,35,0,6,0
广安,30,0,7,0
巴中,24,0,1,0
内江,21,0,3,0
绵阳,22,0,5,0
泸州,19,0,2,0
德阳,17,0,0,0
宜宾,11,0,3,0
凉山州,10,0,3,0
自贡,9,0,2,0
遂宁,10,0,4,0
眉山,8,0,2,0
雅安,7,0,2,0
广元,6,0,1,0
攀枝花,13,0,9,0
乐山,3,0,2,0
资阳,3,0,2,0
阿坝州,1,0,0,0
朝阳区,56,0,0,0
海淀区,56,0,0,0
西城区,46,0,0,0
大兴区,38,0,2,0
丰台区,36,0,3,0
外地来京人员,26,0,2,0
昌平区,24,0,0,0
通州区,17,0,1,0
房山区,14,0,0,0
石景山区,13,0,1,0
东城区,12,0,0,0
顺义区,10,0,0,0
怀柔区,7,0,0,0
密云区,7,0,0,0
门头沟区,3,0,0,0
延庆区,1,0,0,0
待明确地区,0,0,60,3
外地来沪人员,102,0,27,1
浦东新区,56,0,12,0
宝山区,20,0,1,0
徐汇区,17,0,2,0
闵行区,18,0,4,0
静安区,16,0,3,0
松江区,14,0,1,0
普陀区,11,0,0,0
长宁区,13,0,3,0
杨浦区,9,0,1,0
嘉定区,9,0,1,0
奉贤区,9,0,1,0
虹口区,7,0,2,0
黄浦区,6,0,1,0
青浦区,5,0,2,0
崇明区,3,0,0,0
金山区,3,0,1,0
福州,66,0,15,0
莆田,54,0,8,0
泉州,44,0,13,0
厦门,34,0,4,0
宁德,25,0,5,0
南平,20,0,3,0
漳州,19,0,4,0
三明,13,0,1,0
龙岩,6,0,1,0
待明确地区,0,0,5,0
唐山,43,0,4,0
沧州,45,0,12,2
张家口,31,0,4,0
邯郸,31,0,7,0
石家庄,27,0,5,0
保定,31,0,11,0
廊坊,29,0,12,0
邢台,22,0,8,1
秦皇岛,9,0,2,0
承德,7,0,1,0
衡水,8,0,4,0
南宁,47,0,10,0
北海,40,0,4,1
桂林,31,0,5,0
河池,21,0,0,1
防城港,17,0,1,0
柳州,22,0,7,0
来宾,11,0,0,0
玉林,9,0,1,0
钦州,8,0,0,0
贵港,8,0,2,0
贺州,4,0,0,0
百色,3,0,0,0
梧州,5,0,5,0
西安,114,0,17,0
汉中,21,0,1,0
安康,23,0,5,0
渭南,14,0,0,0
咸阳,17,0,4,0
宝鸡,13,0,7,0
商洛,7,0,1,0
铜川,8,0,4,0
延安,8,0,6,0
榆林,3,0,1,0
韩城,1,0,0,0
杨凌,1,0,0,0
待明确地区,0,0,3,0
昆明,48,0,8,0
昭通,19,0,2,0
西双版纳,15,0,2,0
曲靖,13,0,1,0
玉溪,14,0,3,0
大理州,13,0,3,0
保山,9,0,0,0
红河州,8,0,3,0
丽江,7,0,2,0
普洱,4,0,0,0
德宏州,5,0,2,0
楚雄州,4,0,1,0
文山州,2,0,0,0
临沧,1,0,0,0
三亚,54,0,14,1
海口,30,0,6,0
儋州,15,0,2,0
万宁,13,0,1,0
昌江,7,0,0,0
澄迈,8,0,1,1
琼海,6,0,0,1
临高,6,0,2,0
陵水,4,0,0,0
保亭,3,0,0,0
东方,3,0,1,0
文昌,3,0,1,0
乐东,2,0,0,0
定安,3,0,1,1
琼中,1,0,1,0
贵阳,34,0,4,0
遵义,28,0,1,0
毕节,23,0,4,0
黔南州,17,0,5,0
黔东南州,10,0,2,0
六盘水,10,0,3,1
铜仁,10,0,6,0
安顺,4,0,0,0
黔西南州,4,0,3,0
宝坻区,46,0,1,2
河东区,14,0,2,1
河北区,12,0,2,0
北辰区,6,0,0,0
南开区,6,0,0,0
和平区,6,0,1,0
外地来津人员,6,0,1,0
宁河区,4,0,0,0
东丽区,4,0,0,0
河西区,4,0,1,0
滨海新区,3,0,0,0
西青区,4,0,2,0
红桥区,2,0,1,0
津南区,1,0,0,0
武清区,1,0,0,0
待明确地区,0,0,10,0
沈阳,28,0,9,0
大连,17,0,4,0
锦州,12,0,1,0
盘锦,11,0,0,0
葫芦岛,11,0,0,1
阜新,8,0,0,0
铁岭,7,0,1,0
朝阳,6,0,2,0
丹东,7,0,4,0
鞍山,3,0,0,0
本溪,3,0,1,0
辽阳,3,0,1,0
营口,1,0,1,0
晋中,35,0,11,0
太原,18,0,3,0
运城,19,0,8,0
大同,12,0,4,0
长治,8,0,0,0
忻州,7,0,0,0
晋城,8,0,2,0
朔州,7,0,2,0
阳泉,4,0,0,0
吕梁,6,0,5,0
临汾,2,0,1,0
长春,43,0,13,0
四平市,14,0,2,1
辽源,6,0,1,0
公主岭,6,0,2,0
延边,5,0,2,0
通化,3,0,0,0
吉林市,5,0,3,0
松原,2,0,1,0
白城,1,0,0,0
梅河口,1,0,1,0
包头,11,0,0,0
