Sun Feb 16 14:08:49 2020
市,确诊,疑似,治愈,死亡
武汉,39462,0,2915,1233
孝感,3201,0,353,65
黄冈,2823,0,716,75
荆州,1490,0,263,36
随州,1254,0,113,22
襄阳,1144,0,114,19
鄂州,1230,0,222,34
黄石,988,0,192,14
荆门,909,0,117,30
宜昌,901,0,140,21
咸宁,852,0,152,8
十堰,602,0,116,2
仙桃,523,0,87,17
天门,447,0,27,10
恩施州,247,0,76,4
潜江,166,0,12,6
神农架林区,10,0,8,0
深圳,414,0,115,0
广州,338,0,121,0
东莞,89,0,7,1
佛山,84,0,23,0
珠海,96,0,37,0
惠州,58,0,26,0
中山,65,0,34,0
江门,23,0,3,0
汕头,25,0,13,0
湛江,22,0,11,0
茂名,13,0,3,0
梅州,16,0,7,0
肇庆,17,0,8,1
阳江,13,0,7,0
韶关,10,0,4,0
清远,12,0,7,0
揭阳,8,0,4,0
汕尾,5,0,1,0
潮州,5,0,1,0
河源,3,0,1,0
待明确地区,0,0,11,0
信阳,261,0,74,2
南阳,151,0,57,2
郑州,148,0,66,0
驻马店,138,0,64,0
商丘,91,0,30,2
周口,71,0,25,0
新乡,56,0,12,2
平顶山,58,0,20,1
安阳,51,0,18,0
许昌,38,0,8,0
漯河,34,0,12,0
焦作,30,0,7,1
洛阳,31,0,10,0
开封,26,0,7,0
濮阳,17,0,2,0
鹤壁,19,0,5,0
济源,4,0,0,0
三门峡,7,0,4,0
待明确地区,0,0,0,3
温州,502,0,169,0
宁波,155,0,54,0
杭州,166,0,75,0
台州,146,0,63,0
嘉兴,43,0,11,0
金华,55,0,24,0
绍兴,42,0,17,0
衢州,21,0,9,0
丽水,17,0,10,0
湖州,10,0,4,0
舟山,10,0,5,0
蚌埠,157,0,9,5
合肥,169,0,43,1
阜阳,152,0,32,0
亳州,108,0,35,0
六安,65,0,15,0
安庆,82,0,34,0
宿州,39,0,13,0
马鞍山,36,0,10,0
芜湖,31,0,13,0
铜陵,28,0,10,0
淮南,24,0,7,0
淮北,26,0,10,0
池州,17,0,6,0
黄山,9,0,1,0
滁州,13,0,7,0
宣城,6,0,4,0
南昌,227,0,75,0
九江,117,0,22,0
新余,129,0,37,0
上饶,123,0,31,0
宜春,104,0,20,0
赣州,76,0,17,1
抚州,72,0,20,0
萍乡,32,0,4,0
鹰潭,18,0,3,0
吉安,21,0,9,0
景德镇,5,0,1,0
赣江新区,1,0,0,0
长沙,241,0,89,1
岳阳,154,0,54,1
常德,79,0,28,0
株洲,78,0,29,0
邵阳,101,0,59,1
娄底,75,0,34,0
益阳,59,0,25,0
湘潭,35,0,14,0
衡阳,47,0,28,0
郴州,39,0,22,0
永州,43,0,27,0
怀化,40,0,30,0
湘西自治州,8,0,6,0
张家界,5,0,4,0
南京,92,0,29,0
苏州,86,0,26,0
徐州,78,0,23,0
淮安,63,0,21,0
连云港,48,0,12,0
无锡,53,0,18,0
常州,46,0,20,0
南通,40,0,15,0
泰州,37,0,16,0
盐城,27,0,9,0
扬州,22,0,7,0
镇江,12,0,4,0
宿迁,13,0,7,0
济南,47,0,11,0
青岛,57,0,22,1
潍坊,43,0,9,0
济宁,51,0,18,0
烟台,46,0,13,0
威海,38,0,9,0
德州,37,0,7,1
聊城,38,0,10,0
泰安,32,0,5,0
淄博,29,0,4,0
枣庄,24,0,4,0
临沂,47,0,29,0
日照,16,0,3,0
菏泽,18,0,11,0
滨州,14,0,9,0
哈尔滨,182,0,30,3
双鸭山,49,0,1,2
鸡西,46,0,1,0
绥化,46,0,13,4
齐齐哈尔,38,0,8,1
大庆,19,0,2,1
黑河,14,0,0,0
七台河,16,0,4,0
牡丹江,12,0,1,0
佳木斯,15,0,11,0
鹤岗,5,0,2,0
大兴安岭,2,0,0,0
伊春,1,0,0,0
万州区,105,0,34,3
江北区,27,0,3,0
綦江区,23,0,5,0
合川区,23,0,6,0
潼南区,18,0,2,0
垫江县,20,0,5,0
奉节县,20,0,5,0
渝中区,20,0,7,0
南岸区,15,0,2,0
九龙坡区,20,0,7,1
大足区,14,0,2,0
长寿区,20,0,9,0
忠县,20,0,9,0
两江新区,17,0,7,0
渝北区,15,0,5,0
石柱县,14,0,5,0
荣昌区,9,0,0,0
沙坪坝区,8,0,0,0
云阳县,23,0,16,0
开州区,20,0,12,1
丰都县,10,0,3,0
铜梁区,9,0,2,0
巫溪县,13,0,8,0
巫山县,10,0,5,0
巴南区,6,0,1,0
璧山区,8,0,4,0
大渡口区,7,0,4,0
永川区,5,0,2,0
高新区,4,0,1,0
江津区,4,0,2,0
涪陵区,3,0,1,0
彭水县,2,0,0,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
梁平区,4,0,4,0
黔江区,2,0,2,0
城口县,2,0,2,0
武隆区,1,0,1,0
秀山县,1,0,1,0
成都,140,0,49,1
甘孜州,50,0,3,0
达州,36,0,5,0
南充,35,0,9,0
巴中,24,0,3,0
广安,30,0,10,0
内江,22,0,5,0
泸州,19,0,2,0
德阳,17,0,0,0
绵阳,22,0,6,0
凉山州,13,0,5,0
遂宁,12,0,4,0
自贡,9,0,2,0
眉山,8,0,2,0
宜宾,11,0,6,0
雅安,7,0,2,0
攀枝花,13,0,10,0
广元,6,0,3,0
乐山,3,0,2,0
资阳,3,0,2,0
阿坝州,1,0,0,0
待明确地区,0,0,0,2
海淀区,60,0,0,0
朝阳区,58,0,0,0
西城区,46,0,0,0
大兴区,39,0,2,0
丰台区,39,0,3,0
昌平区,25,0,0,0
外地来京人员,26,0,2,0
通州区,18,0,1,0
房山区,15,0,0,0
石景山区,14,0,1,0
东城区,12,0,1,0
顺义区,10,0,0,0
怀柔区,7,0,0,0
密云区,7,0,0,0
门头沟区,3,0,0,0
延庆区,1,0,0,0
待明确地区,0,0,95,4
福州,68,0,20,0
莆田,55,0,12,0
泉州,46,0,13,0
厦门,34,0,5,0
宁德,25,0,6,0
南平,20,0,5,0
漳州,20,0,6,0
三明,13,0,3,0
龙岩,6,0,1,0
待明确地区,0,0,6,0
唐山,51,0,9,0
沧州,47,0,14,2
张家口,34,0,9,0
邯郸,31,0,9,0
石家庄,28,0,7,0
廊坊,30,0,14,0
保定,32,0,19,0
邢台,22,0,10,1
秦皇岛,10,0,3,0
衡水,8,0,4,0
承德,7,0,3,0
南宁,50,0,11,0
北海,43,0,7,1
桂林,31,0,10,0
河池,22,0,0,1
防城港,18,0,1,0
柳州,24,0,8,0
来宾,11,0,0,0
玉林,10,0,1,0
钦州,8,0,1,0
贵港,8,0,2,0
贺州,4,0,0,0
百色,3,0,0,0
梧州,5,0,5,0
外地来沪人员,109,0,48,1
浦东新区,57,0,27,0
宝山区,21,0,5,0
徐汇区,18,0,4,0
松江区,14,0,2,0
闵行区,18,0,7,0
静安区,16,0,7,0
普陀区,11,0,2,0
奉贤区,9,0,1,0
长宁区,13,0,6,0
杨浦区,9,0,2,0
嘉定区,9,0,2,0
虹口区,7,0,3,0
黄浦区,6,0,2,0
崇明区,3,0,0,0
青浦区,5,0,4,0
金山区,3,0,2,0
西安,114,0,25,0
汉中,25,0,1,0
安康,24,0,5,0
渭南,15,0,1,0
咸阳,17,0,5,0
宝鸡,13,0,7,0
商洛,7,0,2,0
铜川,8,0,4,0
延安,8,0,6,0
榆林,3,0,1,0
杨凌,1,0,0,0
韩城,1,0,1,0
待明确地区,0,0,6,0
昆明,49,0,8,0
昭通,25,0,2,0
西双版纳,15,0,3,0
玉溪,14,0,3,0
曲靖,13,0,5,0
大理州,13,0,6,0
保山,9,0,2,0
红河州,8,0,3,0
德宏州,5,0,2,0
普洱,4,0,1,0
楚雄州,4,0,1,0
丽江,7,0,5,0
文山州,2,0,0,0
临沧,1,0,1,0
三亚,54,0,15,1
海口,33,0,9,0
儋州,15,0,2,0
万宁,13,0,3,0
澄迈,9,0,1,1
昌江,7,0,0,0
琼海,6,0,1,1
陵水,4,0,0,0
临高,6,0,3,0
保亭,3,0,0,0
文昌,3,0,1,0
乐东,2,0,0,0
定安,3,0,1,1
东方,3,0,2,0
琼中,1,0,1,0
