Fri Feb 28 18:17:38 2020
市,确诊,疑似,治愈,死亡
宝山区,21,0,13,0
徐汇区,18,0,15,0
静安区,16,0,13,0
松江区,14,0,11,0
普陀区,11,0,9,0
嘉定区,9,0,7,0
黄浦区,6,0,4,0
闵行区,19,0,18,0
杨浦区,9,0,8,0
奉贤区,9,0,8,0
虹口区,7,0,6,0
青浦区,6,0,5,0
金山区,4,0,3,0
崇明区,4,0,3,0
长宁区,13,0,13,0
待明确地区,0,0,0,2
西安,120,0,98,1
汉中,26,0,18,0
安康,26,0,20,0
渭南,15,0,9,0
铜川,8,0,6,0
宝鸡,13,0,12,0
商洛,7,0,6,0
咸阳,17,0,17,0
延安,8,0,8,0
榆林,3,0,3,0
韩城,1,0,1,0
杨凌,1,0,1,0
唐山,58,0,41,1
张家口,41,0,33,0
石家庄,29,0,24,0
沧州,48,0,41,3
邯郸,32,0,30,0
保定,32,0,32,0
廊坊,30,0,30,0
邢台,23,0,22,1
秦皇岛,10,0,9,1
衡水,8,0,8,0
承德,7,0,7,0
遵义,32,0,19,0
贵阳,36,0,27,1
毕节,23,0,15,0
黔南州,17,0,15,0
六盘水,10,0,8,1
铜仁,10,0,10,0
黔东南州,10,0,10,0
安顺,4,0,4,0
黔西南州,4,0,4,0
宝坻区,60,0,39,2
南开区,6,0,2,0
河东区,15,0,11,1
北辰区,6,0,3,0
宁河区,4,0,1,0
河北区,12,0,10,0
和平区,6,0,5,0
外地来津人员,6,0,5,0
津南区,2,0,1,0
东丽区,4,0,4,0
河西区,4,0,4,0
西青区,4,0,4,0
滨海新区,3,0,3,0
武清区,2,0,2,0
红桥区,2,0,2,0
待明确地区,0,0,6,0
三亚,54,0,43,1
海口,39,0,31,0
昌江,7,0,3,0
儋州,15,0,12,1
保亭,3,0,1,0
万宁,13,0,12,0
澄迈,9,0,7,1
琼海,6,0,4,1
东方,3,0,2,0
临高,6,0,6,0
陵水,4,0,4,0
定安,3,0,2,1
文昌,3,0,3,0
乐东,2,0,2,0
琼中,1,0,1,0
锡林郭勒盟,9,0,2,0
包头,11,0,5,0
通辽,7,0,2,0
呼和浩特,7,0,4,0
呼伦贝尔,7,0,4,0
鄂尔多斯,11,0,9,0
巴彦淖尔,8,0,6,0
赤峰,9,0,8,0
乌兰察布,3,0,2,0
乌海市,2,0,2,0
兴安盟,1,0,1,0
大连,19,0,12,0
沈阳,28,0,23,0
葫芦岛,12,0,6,1
朝阳,6,0,3,0
鞍山,4,0,1,0
铁岭,7,0,5,0
锦州,12,0,11,0
丹东,7,0,6,0
盘锦,11,0,11,0
阜新,8,0,8,0
本溪,3,0,3,0
辽阳,3,0,3,0
营口,1,0,1,0
晋中,37,0,26,0
大同,12,0,8,0
晋城,10,0,7,0
太原,20,0,18,0
朔州,8,0,6,0
运城,19,0,18,0
长治,8,0,7,0
忻州,7,0,7,0
吕梁,6,0,6,0
阳泉,4,0,4,0
临汾,2,0,2,0
乌鲁木齐,23,0,16,0
伊犁州,18,0,12,0
兵团第四师,10,0,6,1
吐鲁番市,3,0,1,0
兵团第九师,4,0,2,1
昌吉州,4,0,3,0
兵团第八师石河子市,4,0,2,1
巴州,3,0,3,0
兵团第十二师,3,0,3,0
兵团第六师五家渠市,2,0,2,0
兵团第七师,1,0,1,0
阿克苏地区,1,0,1,0
长春,45,0,37,0
四平市,15,0,11,1
辽源,7,0,4,0
通化,6,0,3,0
公主岭,6,0,5,0
