Sun Feb 23 22:27:04 2020
市,确诊,疑似,治愈,死亡
石家庄,29,0,21,0
张家口,34,0,28,0
邯郸,32,0,26,0
保定,32,0,29,0
廊坊,30,0,27,0
邢台,23,0,19,1
秦皇岛,10,0,6,1
衡水,8,0,8,0
承德,7,0,7,0
外地来沪人员,111,0,77,1
浦东新区,60,0,43,0
宝山区,21,0,10,0
嘉定区,9,0,3,0
徐汇区,18,0,13,0
静安区,16,0,11,0
松江区,14,0,9,0
闵行区,19,0,15,0
杨浦区,9,0,5,0
奉贤区,9,0,5,0
普陀区,11,0,8,0
黄浦区,6,0,3,0
长宁区,13,0,11,0
虹口区,7,0,5,0
崇明区,4,0,2,0
金山区,3,0,2,0
青浦区,5,0,5,0
待明确地区,0,0,22,2
西安,120,0,81,1
汉中,26,0,10,0
安康,26,0,17,0
渭南,15,0,7,0
咸阳,17,0,14,0
宝鸡,13,0,11,0
铜川,8,0,6,0
商洛,7,0,5,0
杨凌,1,0,0,0
延安,8,0,8,0
榆林,3,0,3,0
韩城,1,0,1,0
三亚,54,0,32,1
海口,39,0,19,0
万宁,13,0,9,0
昌江,7,0,3,0
儋州,15,0,12,0
澄迈,9,0,6,1
临高,6,0,4,0
保亭,3,0,1,0
琼海,6,0,4,1
东方,3,0,2,0
陵水,4,0,4,0
定安,3,0,2,1
文昌,3,0,3,0
乐东,2,0,2,0
琼中,1,0,1,0
待明确地区,0,0,2,0
昆明,53,0,32,0
昭通,25,0,14,0
红河州,9,0,4,0
玉溪,14,0,9,1
曲靖,13,0,9,0
保山,9,0,5,0
德宏州,5,0,2,0
西双版纳,15,0,12,1
大理州,13,0,11,0
文山州,2,0,1,0
丽江,7,0,7,0
普洱,4,0,4,0
楚雄州,4,0,4,0
临沧,1,0,1,0
宝坻区,60,0,19,2
河东区,15,0,8,1
北辰区,6,0,2,0
南开区,6,0,2,0
宁河区,4,0,1,0
河北区,12,0,10,0
和平区,6,0,4,0
外地来津人员,6,0,4,0
东丽区,4,0,2,0
河西区,4,0,3,0
滨海新区,3,0,2,0
武清区,2,0,1,0
西青区,4,0,4,0
红桥区,2,0,2,0
津南区,1,0,1,0
待明确地区,0,0,16,0
乌鲁木齐,23,0,10,0
伊犁州,18,0,6,0
兵团第四师,10,0,0,0
兵团第九师,4,0,0,1
兵团第十二师,3,0,0,0
吐鲁番市,3,0,1,0
兵团第八师石河子市,4,0,1,1
兵团第六师五家渠市,2,0,0,0
昌吉州,4,0,3,0
巴州,3,0,2,0
兵团第七师,1,0,1,0
阿克苏地区,1,0,1,0
包头,11,0,4,0
锡林郭勒盟,9,0,2,0
赤峰,9,0,3,0
通辽,7,0,1,0
巴彦淖尔,8,0,3,0
呼和浩特,7,0,2,0
鄂尔多斯,11,0,7,0
呼伦贝尔,7,0,4,0
乌兰察布,3,0,1,0
乌海市,2,0,0,0
兴安盟,1,0,0,0
大连,19,0,9,0
葫芦岛,12,0,5,1
盘锦,11,0,5,0
铁岭,7,0,1,0
阜新,8,0,3,0
鞍山,4,0,0,0
沈阳,28,0,25,0
锦州,12,0,9,0
朝阳,6,0,3,0
丹东,7,0,6,0
本溪,3,0,3,0
辽阳,3,0,3,0
营口,1,0,1,0
晋中,36,0,22,0
太原,20,0,15,0
晋城,10,0,5,0
长治,8,0,3,0
大同,12,0,8,0
朔州,8,0,5,0
忻州,7,0,4,0
运城,19,0,17,0
阳泉,4,0,3,0
临汾,2,0,1,0
吕梁,6,0,6,0
贵阳,36,0,18,1
遵义,32,0,18,0
毕节,23,0,13,0
黔南州,17,0,12,0
安顺,4,0,1,0
六盘水,10,0,7,1
黔东南州,10,0,8,0
铜仁,10,0,10,0
黔西南州,4,0,4,0
待明确地区,0,0,11,0
长春,45,0,27,0
辽源,7,0,1,0
四平市,15,0,9,1
公主岭,6,0,3,0
通化,4,0,2,0
延边,5,0,4,0
白城,1,0,0,0
吉林市,5,0,5,0
松原,2,0,2,0
梅河口,1,0,1,0
吴忠,28,0,19,0
银川,33,0,29,0
固原,5,0,3,0
中卫,3,0,3,0
宁东,1,0,1,0
石嘴山,1,0,1,0
兰州,36,0,31,2
平凉,9,0,6,0
甘南,8,0,6,0
定西,9,0,8,0
白银,4,0,3,0
庆阳,3,0,2,0
天水,12,0,12,0
陇南,4,0,4,0
临夏,3,0,3,0
张掖,2,0,2,0
金昌,1,0,1,0
西宁,15,0,15,0
海北州,3,0,3,0
拉萨,1,0,1,0
