Sun Feb  9 13:45:45 2020
市,确诊,疑似,治愈,死亡
武汉,14982,0,877,608
孝感,2436,0,45,29
黄冈,2141,0,137,43
荆州,997,0,34,13
襄阳,988,0,40,7
随州,984,0,23,9
黄石,760,0,54,2
宜昌,711,0,36,8
荆门,663,0,48,19
鄂州,639,0,42,21
咸宁,493,0,23,4
十堰,467,0,40,0
仙桃,379,0,16,5
天门,197,0,1,10
恩施州,171,0,20,0
潜江,82,0,2,2
神农架林区,10,0,2,0
深圳,364,0,39,0
广州,304,0,36,0
珠海,83,0,4,0
佛山,65,0,4,0
东莞,58,0,1,0
中山,51,0,14,0
惠州,47,0,1,0
汕头,25,0,4,0
湛江,21,0,6,0
江门,17,0,1,0
肇庆,14,0,3,1
阳江,13,0,1,0
梅州,13,0,4,0
清远,10,0,3,0
茂名,9,0,1,0
揭阳,7,0,1,0
韶关,6,0,2,0
汕尾,5,0,1,0
潮州,5,0,0,0
河源,3,0,0,0
温州,448,0,70,0
杭州,165,0,41,0
宁波,146,0,13,0
台州,138,0,25,0
金华,53,0,13,0
嘉兴,38,0,1,0
绍兴,38,0,8,0
丽水,17,0,5,0
衢州,15,0,3,0
湖州,10,0,1,0
舟山,7,0,5,0
信阳,205,0,24,0
南阳,133,0,16,2
郑州,126,0,31,0
驻马店,116,0,5,0
商丘,82,0,5,0
周口,62,0,10,0
平顶山,50,0,6,1
新乡,44,0,5,0
安阳,44,0,3,0
许昌,31,0,2,0
漯河,30,0,4,0
洛阳,25,0,2,0
开封,24,0,1,0
焦作,24,0,1,0
鹤壁,17,0,0,0
濮阳,9,0,0,0
三门峡,7,0,3,0
济源,4,0,0,0
待明确地区,0,0,13,3
长沙,205,0,27,0
岳阳,115,0,10,1
邵阳,87,0,18,0
常德,66,0,15,0
娄底,64,0,8,0
株洲,58,0,9,0
益阳,46,0,10,0
衡阳,45,0,14,0
永州,40,0,10,0
怀化,39,0,15,0
郴州,32,0,8,0
湘潭,28,0,10,0
湘西自治州,8,0,3,0
张家界,5,0,2,0
合肥,136,0,11,0
阜阳,118,0,11,0
蚌埠,115,0,1,1
亳州,87,0,5,0
安庆,75,0,12,0
六安,54,0,2,0
马鞍山,31,0,2,0
芜湖,29,0,3,0
宿州,28,0,2,0
铜陵,24,0,7,0
淮北,23,0,1,0
淮南,22,0,3,0
池州,12,0,1,0
滁州,11,0,2,0
黄山,9,0,1,0
宣城,5,0,2,0
南昌,179,0,27,0
九江,100,0,6,0
新余,100,0,13,0
上饶,98,0,7,0
宜春,74,0,6,0
赣州,69,0,2,0
抚州,63,0,7,0
萍乡,24,0,1,0
吉安,17,0,1,0
鹰潭,11,0,1,0
景德镇,5,0,1,0
苏州,75,0,11,0
南京,71,0,20,0
徐州,56,0,3,0
淮安,44,0,5,0
无锡,38,0,3,0
连云港,32,0,2,0
南通,32,0,2,0
常州,31,0,5,0
泰州,30,0,4,0
扬州,18,0,2,0
盐城,17,0,3,0
镇江,12,0,1,0
宿迁,12,0,0,0
万州区,84,0,5,1
江北区,23,0,1,0
云阳县,20,0,7,0
渝中区,20,0,1,0
九龙坡区,19,0,1,1
垫江县,19,0,1,0
开州区,18,0,2,0
合川区,17,0,1,0
忠县,16,0,3,0
两江新区,16,0,0,0
长寿区,15,0,2,0
綦江区,15,0,0,0
奉节县,14,0,1,0
潼南区,13,0,0,0
渝北区,12,0,2,0
巫溪县,12,0,1,0
石柱县,12,0,0,0
大足区,10,0,0,0
丰都县,9,0,1,0
璧山区,8,0,0,0
铜梁区,8,0,0,0
巫山县,8,0,4,0
南岸区,8,0,0,0
荣昌区,8,0,0,0
大渡口区,7,0,1,0
永川区,5,0,1,0
江津区,4,0,1,0
梁平区,4,0,1,0
高新区,4,0,0,0
涪陵区,3,0,0,0
巴南区,3,0,0,0
城口县,2,0,1,0
黔江区,2,0,0,0
沙坪坝区,2,0,0,0
彭水县,2,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
青岛,47,0,7,1
济南,42,0,3,0
临沂,40,0,4,0
济宁,39,0,8,0
烟台,36,0,2,0
威海,34,0,8,0
潍坊,34,0,1,0
聊城,33,0,2,0
德州,30,0,4,0
泰安,23,0,1,0
枣庄,21,0,1,0
淄博,16,0,1,0
日照,15,0,2,0
