Fri Feb 21 17:12:57 2020
市,确诊,疑似,治愈,死亡
武汉,45346,0,6214,1684
孝感,3346,0,771,94
黄冈,2856,0,1274,90
荆州,1517,0,531,40
鄂州,1343,0,375,39
随州,1287,0,386,28
襄阳,1170,0,343,24
宜昌,895,0,250,28
黄石,974,0,339,27
荆门,800,0,229,37
咸宁,766,0,313,10
十堰,654,0,209,2
仙桃,568,0,210,19
天门,477,0,165,12
监狱系统,220,0,0,0
恩施州,245,0,112,3
潜江,188,0,57,7
神农架林区,10,0,10,0
深圳,416,0,199,2
广州,339,0,172,0
东莞,93,0,27,1
佛山,84,0,33,0
珠海,98,0,49,1
中山,66,0,43,0
惠州,62,0,41,0
江门,23,0,9,0
湛江,22,0,12,0
肇庆,18,0,8,1
茂名,14,0,6,0
汕头,25,0,20,0
梅州,16,0,11,0
韶关,10,0,6,0
揭阳,8,0,4,0
阳江,13,0,10,0
清远,12,0,9,0
汕尾,5,0,2,0
河源,4,0,1,0
潮州,5,0,4,0
温州,504,0,245,1
台州,146,0,84,0
杭州,169,0,111,0
宁波,157,0,101,0
省十里丰监狱,34,0,0,0
嘉兴,45,0,22,0
绍兴,42,0,20,0
金华,55,0,36,0
舟山,10,0,5,0
衢州,14,0,10,0
湖州,10,0,6,0
丽水,17,0,14,0
信阳,270,0,134,2
南阳,155,0,66,2
郑州,157,0,98,0
周口,76,0,34,0
驻马店,139,0,99,0
新乡,57,0,26,3
商丘,91,0,63,3
安阳,53,0,29,0
许昌,39,0,16,0
平顶山,58,0,35,1
焦作,32,0,9,1
洛阳,31,0,15,1
漯河,35,0,21,0
开封,26,0,13,0
鹤壁,19,0,8,0
濮阳,17,0,7,0
济源,5,0,3,0
三门峡,7,0,6,0
待明确地区,0,0,29,6
蚌埠,160,0,56,5
合肥,174,0,86,1
阜阳,155,0,90,0
亳州,108,0,65,0
六安,69,0,35,0
安庆,83,0,55,0
马鞍山,37,0,15,0
宿州,41,0,23,0
铜陵,29,0,12,0
淮北,27,0,14,0
淮南,27,0,14,0
芜湖,33,0,21,0
池州,17,0,10,0
滁州,13,0,8,0
黄山,9,0,6,0
宣城,6,0,4,0
济宁,253,0,29,0
烟台,47,0,17,0
潍坊,44,0,17,0
济南,47,0,22,0
青岛,59,0,34,1
德州,37,0,11,2
泰安,34,0,12,1
淄博,30,0,9,0
威海,38,0,18,0
聊城,38,0,21,0
枣庄,24,0,11,0
日照,16,0,8,0
临沂,49,0,44,0
菏泽,18,0,14,0
滨州,15,0,11,0
南昌,229,0,145,0
九江,118,0,47,0
上饶,123,0,64,0
宜春,106,0,53,0
新余,130,0,80,0
赣州,76,0,34,1
抚州,72,0,37,0
萍乡,33,0,11,0
鹰潭,18,0,4,0
吉安,22,0,11,0
景德镇,6,0,3,0
赣江新区,1,0,0,0
长沙,242,0,125,2
岳阳,156,0,76,1
株洲,78,0,46,0
邵阳,102,0,78,1
常德,80,0,58,0
娄底,76,0,54,0
湘潭,35,0,17,0
益阳,59,0,48,0
衡阳,48,0,37,0
郴州,39,0,30,0
永州,43,0,35,0
怀化,40,0,38,0
湘西自治州,8,0,7,0
张家界,5,0,5,0
哈尔滨,197,0,55,3
鸡西,46,0,3,0
双鸭山,52,0,11,3
齐齐哈尔,43,0,16,1
绥化,47,0,26,4
大庆,26,0,8,1
牡丹江,14,0,2,0
七台河,17,0,6,0
黑河,14,0,3,0
鹤岗,5,0,2,0
佳木斯,15,0,14,0
伊春,1,0,0,0
大兴安岭,2,0,2,0
成都,143,0,71,3
甘孜州,68,0,9,0
达州,41,0,11,0
南充,38,0,15,0
泸州,24,0,6,0
德阳,18,0,3,0
巴中,24,0,10,0
绵阳,22,0,10,0
内江,22,0,10,0
广安,30,0,20,0
遂宁,17,0,10,0
凉山州,13,0,6,0
攀枝花,16,0,11,0
宜宾,12,0,7,0
眉山,8,0,3,0
雅安,7,0,4,0
自贡,9,0,7,0
广元,6,0,4,0
乐山,3,0,2,0
资阳,3,0,2,0
阿坝州,1,0,1,0
南京,93,0,47,0
苏州,87,0,42,0
淮安,66,0,34,0
连云港,48,0,18,0
徐州,79,0,58,0
无锡,55,0,36,0
南通,40,0,23,0
常州,51,0,36,0
泰州,37,0,24,0
扬州,23,0,13,0
盐城,27,0,20,0
宿迁,13,0,8,0
镇江,12,0,8,0
万州区,115,0,56,4
江北区,28,0,9,0
合川区,23,0,8,0
潼南区,18,0,5,0
綦江区,23,0,11,0
奉节县,22,0,10,0
垫江县,20,0,9,0
长寿区,21,0,11,0
两江新区,17,0,7,0
南岸区,15,0,5,0
九龙坡区,20,0,10,1
渝北区,17,0,9,0
沙坪坝区,8,0,1,0
云阳县,25,0,19,0
渝中区,20,0,14,0
铜梁区,10,0,4,0
丰都县,10,0,4,0
石柱县,15,0,10,0
大足区,14,0,9,0
开州区,20,0,15,1
巫溪县,13,0,9,0
巫山县,10,0,6,0
荣昌区,9,0,5,0
巴南区,6,0,2,0
涪陵区,5,0,2,0
忠县,20,0,18,0
璧山区,9,0,7,0
大渡口区,7,0,5,0
高新区,4,0,2,0
彭水县,2,0,0,0
永川区,5,0,4,0
江津区,4,0,3,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
梁平区,4,0,4,0
黔江区,2,0,2,0
城口县,2,0,2,0
武隆区,1,0,1,0
秀山县,1,0,1,0
海淀区,61,0,0,0
朝阳区,58,0,0,0
西城区,53,0,0,0
丰台区,41,0,3,0
大兴区,39,0,2,0
昌平区,29,0,0,0
外地来京人员,26,0,2,0
通州区,19,0,1,0
房山区,16,0,3,0
石景山区,14,0,1,0
东城区,12,0,1,0
顺义区,10,0,0,0
怀柔区,7,0,0,0
密云区,7,0,0,0
门头沟区,3,0,2,0
延庆区,1,0,0,0
待明确地区,0,0,154,4
福州,71,0,36,0
莆田,55,0,22,0
泉州,46,0,16,0
厦门,35,0,10,0
南平,20,0,8,0
宁德,26,0,17,0
漳州,20,0,11,0
三明,14,0,5,0
龙岩,6,0,1,0
待明确地区,0,0,8,1
南宁,54,0,24,0
北海,44,0,14,1
河池,24,0,4,1
桂林,31,0,15,0
柳州,24,0,11,0
防城港,19,0,6,0
来宾,11,0,0,0
玉林,11,0,4,0
贵港,8,0,3,0
贺州,4,0,1,0
钦州,8,0,6,0
百色,3,0,2,0
梧州,5,0,5,0
唐山,57,0,16,1
沧州,48,0,22,3
邯郸,31,0,17,0
石家庄,28,0,14,0
张家口,34,0,25,0
廊坊,30,0,21,0
邢台,23,0,13,1
保定,32,0,27,0
秦皇岛,10,0,6,0
衡水,8,0,6,0
承德,7,0,5,0
西安,120,0,47,1
汉中,26,0,10,0
渭南,15,0,4,0
安康,26,0,16,0
咸阳,17,0,10,0
宝鸡,13,0,10,0
商洛,7,0,4,0
延安,8,0,6,0
铜川,8,0,6,0
榆林,3,0,1,0
杨凌,1,0,0,0
韩城,1,0,1,0
待明确地区,0,0,2,0
外地来沪人员,110,0,73,1
浦东新区,60,0,42,0
宝山区,21,0,10,0
徐汇区,18,0,10,0
松江区,14,0,7,0
静安区,16,0,10,0
嘉定区,9,0,3,0
奉贤区,9,0,3,0
杨浦区,9,0,4,0
闵行区,19,0,15,0
普陀区,11,0,7,0
长宁区,13,0,10,0
黄浦区,6,0,3,0
虹口区,7,0,5,0
崇明区,4,0,2,0
金山区,3,0,2,0
青浦区,5,0,5,0
待明确地区,0,0,0,1
昆明,53,0,32,0
昭通,25,0,6,0
西双版纳,15,0,4,1
曲靖,13,0,8,0
红河州,9,0,4,0
保山,9,0,4,0
玉溪,14,0,9,1
大理州,13,0,10,0
德宏州,5,0,2,0
文山州,2,0,1,0
丽江,7,0,7,0
普洱,4,0,4,0
楚雄州,4,0,4,0
临沧,1,0,1,0
三亚,54,0,25,1
海口,39,0,18,0
昌江,7,0,2,0
儋州,15,0,11,0
万宁,13,0,9,0
澄迈,9,0,4,1
陵水,4,0,1,0
临高,6,0,4,0
保亭,3,0,1,0
琼海,6,0,4,1
东方,3,0,2,0
定安,3,0,2,1
文昌,3,0,3,0
乐东,2,0,2,0
琼中,1,0,1,0
宝坻区,57,0,17,2
河东区,15,0,8,1
北辰区,6,0,1,0
南开区,6,0,2,0
河北区,12,0,9,0
宁河区,4,0,1,0
和平区,6,0,4,0
外地来津人员,6,0,4,0
东丽区,4,0,2,0
河西区,4,0,2,0
滨海新区,3,0,1,0
武清区,2,0,1,0
西青区,4,0,4,0
红桥区,2,0,2,0
津南区,1,0,1,0
贵阳,36,0,17,1
遵义,32,0,17,0
毕节,23,0,10,0
黔南州,17,0,7,0
黔东南州,10,0,5,0
六盘水,10,0,6,1
安顺,4,0,1,0
铜仁,10,0,9,0
黔西南州,4,0,4,0
沈阳,28,0,15,0
大连,19,0,9,0
葫芦岛,12,0,5,1
盘锦,11,0,5,0
铁岭,7,0,1,0
阜新,8,0,3,0
锦州,12,0,8,0
鞍山,4,0,0,0
朝阳,6,0,3,0
丹东,7,0,5,0
本溪,3,0,3,0
辽阳,3,0,3,0
营口,1,0,1,0
包头,11,0,2,0
锡林郭勒盟,9,0,1,0
巴彦淖尔,8,0,0,0
鄂尔多斯,11,0,5,0
赤峰,9,0,3,0
通辽,7,0,1,0
呼和浩特,7,0,2,0
呼伦贝尔,7,0,2,0
乌兰察布,3,0,1,0
乌海市,2,0,0,0
兴安盟,1,0,0,0
晋中,36,0,21,0
太原,20,0,12,0
晋城,10,0,3,0
大同,12,0,6,0
长治,8,0,2,0
朔州,8,0,3,0
运城,19,0,16,0
忻州,7,0,4,0
阳泉,4,0,2,0
临汾,2,0,1,0
吕梁,6,0,6,0
乌鲁木齐,23,0,10,0
伊犁州,18,0,6,0
兵团第四师,10,0,0,0
兵团第九师,4,0,0,0
巴州,3,0,0,0
兵团第十二师,3,0,0,0
昌吉州,4,0,2,0
吐鲁番市,3,0,1,0
兵团第八师石河子市,4,0,1,1
兵团第六师五家渠市,2,0,0,0
兵团第七师,1,0,1,0
阿克苏地区,1,0,1,0
长春,45,0,21,0
四平市,15,0,8,1
辽源,7,0,1,0
公主岭,6,0,2,0
通化,4,0,1,0
吉林市,5,0,4,0
延边,5,0,4,0
白城,1,0,0,0
松原,2,0,2,0
梅河口,1,0,1,0
吴忠,28,0,12,0
银川,33,0,28,0
固原,5,0,3,0
中卫,3,0,3,0
宁东,1,0,1,0
石嘴山,1,0,1,0
兰州,36,0,27,2
甘南,8,0,4,0
平凉,9,0,6,0
白银,4,0,2,0
定西,9,0,8,0
庆阳,3,0,2,0
天水,12,0,12,0
陇南,4,0,4,0
临夏,3,0,3,0
张掖,2,0,2,0
金昌,1,0,1,0
西宁,15,0,15,0
海北州,3,0,3,0
拉萨,1,0,1,0
