2020-01-28 12:15
市,确诊,疑似,治愈,死亡
武汉,1590,0,42,85
黄冈,213,0,2,4
孝感,173,0,0,1
荆门,114,0,0,3
咸宁,91,0,0,0
荆州,71,0,1,2
随州,70,0,0,0
襄阳,70,0,0,0
十堰,65,0,0,0
鄂州,57,0,0,0
黄石,53,0,0,1
宜昌,51,0,0,1
恩施州,38,0,0,0
仙桃,27,0,0,0
天门,23,0,0,2
潜江,7,0,0,1
神农架林区,1,0,0,0
广州,51,0,0,0
深圳,49,0,4,0
佛山,18,0,0,0
珠海,12,0,0,0
惠州,11,0,0,0
阳江,8,0,0,0
中山,6,0,0,0
湛江,5,0,0,0
清远,5,0,0,0
汕头,5,0,0,0
韶关,4,0,0,0
肇庆,4,0,0,0
揭阳,4,0,0,0
梅州,3,0,0,0
东莞,2,0,0,0
汕尾,1,0,0,0
温州,60,0,1,0
杭州,32,0,0,0
台州,22,0,0,0
宁波,17,0,0,0
嘉兴,11,0,0,0
绍兴,7,0,0,0
金华,7,0,0,0
衢州,5,0,0,0
丽水,5,0,0,0
舟山,4,0,0,0
湖州,3,0,0,0
郑州,37,0,0,0
信阳,29,0,0,0
南阳,26,0,0,1
周口,15,0,0,0
安阳,11,0,0,0
驻马店,10,0,0,0
漯河,9,0,0,0
商丘,7,0,0,0
新乡,6,0,0,0
平顶山,5,0,0,0
三门峡,3,0,0,0
洛阳,2,0,0,0
开封,2,0,0,0
鹤壁,2,0,0,0
许昌,2,0,0,0
焦作,2,0,0,0
长沙,24,0,0,0
常德,19,0,0,0
岳阳,17,0,0,0
怀化,16,0,0,0
邵阳,11,0,0,0
益阳,10,0,0,0
娄底,9,0,0,0
株洲,7,0,0,0
郴州,7,0,0,0
永州,7,0,0,0
衡阳,7,0,0,0
湘潭,6,0,0,0
湘西自治州,3,0,0,0
万州区,15,0,0,0
云阳县,10,0,0,0
开州区,9,0,0,0
忠县,9,0,0,0
两江新区,8,0,0,0
长寿区,7,0,0,0
大渡口区,6,0,0,0
渝北区,6,0,0,0
石柱县,6,0,0,0
九龙坡区,5,0,0,0
垫江县,5,0,0,0
巫山县,5,0,0,0
巫溪县,5,0,0,0
江北区,4,0,0,0
合川区,4,0,0,0
永川区,3,0,0,0
璧山区,3,0,0,0
丰都县,3,0,0,0
奉节县,3,0,0,0
江津区,2,0,0,0
綦江区,2,0,0,0
铜梁区,2,0,0,0
潼南区,2,0,0,0
涪陵区,1,0,0,0
巴南区,1,0,0,0
大足区,1,0,0,0
梁平区,1,0,0,0
城口县,1,0,0,0
